Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2016,2,Eixample,5,el Fort Pienc,15,Motos,Subjecte Físic,174
2016,2,Eixample,5,el Fort Pienc,16,Turismes,Subjecte Jurídic,31
2016,2,Eixample,5,el Fort Pienc,16,Turismes,Subjecte Físic,516
2016,2,Eixample,5,el Fort Pienc,16,Motos,Subjecte Jurídic,22
2016,2,Eixample,5,el Fort Pienc,16,Motos,Subjecte Físic,216
2016,2,Eixample,5,el Fort Pienc,16,Motos,Altres,1
2016,2,Eixample,5,el Fort Pienc,17,Turismes,Subjecte Jurídic,51
2016,2,Eixample,5,el Fort Pienc,17,Turismes,Subjecte Físic,519
2016,2,Eixample,5,el Fort Pienc,17,Motos,Subjecte Jurídic,15
2016,2,Eixample,5,el Fort Pienc,17,Motos,Subjecte Físic,258
2016,2,Eixample,5,el Fort Pienc,18,Turismes,Subjecte Jurídic,81
2016,2,Eixample,5,el Fort Pienc,18,Turismes,Subjecte Físic,550
2016,2,Eixample,5,el Fort Pienc,18,Motos,Subjecte Jurídic,25
2016,2,Eixample,5,el Fort Pienc,18,Motos,Subjecte Físic,229
2016,2,Eixample,5,el Fort Pienc,19,Turismes,Subjecte Jurídic,81
2016,2,Eixample,5,el Fort Pienc,19,Turismes,Subjecte Físic,479
2016,2,Eixample,5,el Fort Pienc,19,Turismes,Altres,1
2016,2,Eixample,5,el Fort Pienc,19,Motos,Subjecte Jurídic,22
2016,2,Eixample,5,el Fort Pienc,19,Motos,Subjecte Físic,218
2016,2,Eixample,5,el Fort Pienc,20,Turismes,Subjecte Jurídic,60
2016,2,Eixample,5,el Fort Pienc,20,Turismes,Subjecte Físic,316
2016,2,Eixample,5,el Fort Pienc,20,Motos,Subjecte Jurídic,6
2016,2,Eixample,5,el Fort Pienc,20,Motos,Subjecte Físic,164
2016,2,Eixample,6,la Sagrada Família,21,Turismes,Subjecte Jurídic,16
2016,2,Eixample,6,la Sagrada Família,21,Turismes,Subjecte Físic,378
2016,2,Eixample,6,la Sagrada Família,21,Motos,Subjecte Jurídic,7
2016,2,Eixample,6,la Sagrada Família,21,Motos,Subjecte Físic,155
2016,2,Eixample,6,la Sagrada Família,22,Turismes,Subjecte Jurídic,16
2016,2,Eixample,6,la Sagrada Família,22,Turismes,Subjecte Físic,326
2016,2,Eixample,6,la Sagrada Família,22,Motos,Subjecte Jurídic,3
2016,2,Eixample,6,la Sagrada Família,22,Motos,Subjecte Físic,108
