Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,8,Nou Barris,53,la Trinitat Nova,No consta,0
2013,8,Nou Barris,54,Torre Baró,No consta,0
2013,8,Nou Barris,55,Ciutat Meridiana,No consta,0
2013,8,Nou Barris,56,Vallbona,No consta,0
2013,9,Sant Andreu,57,la Trinitat Vella,No consta,0
2013,9,Sant Andreu,58,Baró de Viver,No consta,0
2013,9,Sant Andreu,59,el Bon Pastor,No consta,0
2013,9,Sant Andreu,60,Sant Andreu,No consta,0
2013,9,Sant Andreu,61,la Sagrera,No consta,0
2013,9,Sant Andreu,62,el Congrés i els Indians,No consta,0
2013,9,Sant Andreu,63,Navas,No consta,1
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,No consta,1
2013,10,Sant Martí,65,el Clot,No consta,0
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,No consta,0
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,No consta,0
2013,10,Sant Martí,68,el Poblenou,No consta,0
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,No consta,0
2013,10,Sant Martí,70,el Besòs i el Maresme,No consta,0
2013,10,Sant Martí,71,Provençals del Poblenou,No consta,0
2013,10,Sant Martí,72,Sant Martí de Provençals,No consta,0
2013,10,Sant Martí,73,la Verneda i la Pau,No consta,0
2013,99,No consta,99,No consta,No consta,0
